Bairro,Município,Populção Total(Senso 2010),Pop. De Homens (Senso 2010),Pop. De Mulheres (Senso 2010),procurar,raw,LATITUDE,LONGITUDE,POINT
Centro Arapiraca,Arapiraca,4459,1932,2527,"Arapiraca, Centro Arapiraca","Mercado Municipal de Arapiraca, Rua Teodorico Costa, Centro, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57300-010, Brasil",-9.7540561,-36.6648072,"9 45m 14.602s S, 36 39m 53.3059s W"
Eldorado,Arapiraca,3431,1584,1847,"Arapiraca, Eldorado","Eldorado, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7424306,-36.6676962,"9 44m 32.7502s S, 36 40m 3.70632s W"
Guaribas,Arapiraca,1365,654,711,"Arapiraca, Guaribas","Guaribas, Junqueiro, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.8045164,-36.400991,"9 48m 16.259s S, 36 24m 3.5676s W"
Santa Edwiges,Arapiraca,1574,740,834,"Arapiraca, Santa Edwiges","Santa Edwiges, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7358746,-36.6597784,"9 44m 9.14856s S, 36 39m 35.2022s W"
Senador Arnon de Melo,Arapiraca,3841,1882,1959,"Arapiraca, Senador Arnon de Melo","Senador Arnon de Melo, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7297243,-36.6451473123581,"9 43m 47.0075s S, 36 38m 42.5303s W"
Itapoã,Arapiraca,2246,1090,1156,"Arapiraca, Itapoã","Itapoã, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57314-105, Brasil",-9.7478445,-36.6389966,"9 44m 52.2402s S, 36 38m 20.3878s W"
Jardim de Maria,Arapiraca,941,460,481,"Arapiraca, Jardim de Maria","Rua Jardim de Maria, Boa Vista, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57303-276, Brasil",-9.7776207,-36.6473021,"9 46m 39.4345s S, 36 38m 50.2876s W"
Jardim Esperança,Arapiraca,4139,1937,2202,"Arapiraca, Jardim Esperança","Jardim Esperança, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57306-415, Brasil",-9.7251161,-36.6835889,"9 43m 30.418s S, 36 41m 0.92004s W"
Baixa Grande,Arapiraca,4691,2227,2464,"Arapiraca, Baixa Grande","Baixa Grande, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7336276,-36.6727817,"9 44m 1.05936s S, 36 40m 22.0141s W"
João Paulo II,Arapiraca,1509,717,792,"Arapiraca, João Paulo II","Escola João Paulo II, Rua São João, São José da Tapera, Região Geográfica Imediata de Pão de Açúcar-Olho d'Água das Flores-Batalha, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57445-000, Brasil",-9.56323755,-37.38294507609814,"9 33m 47.6552s S, 37 22m 58.6023s W"
Santa Esmeralda,Arapiraca,4808,2273,2535,"Arapiraca, Santa Esmeralda","Santa Esmeralda, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7398505,-36.6507554,"9 44m 23.4618s S, 36 39m 2.71944s W"
Manoel Teles,Arapiraca,8255,3901,4354,"Arapiraca, Manoel Teles","Manoel Teles, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7552779,-36.6685438,"9 45m 19.0004s S, 36 40m 6.75768s W"
Massaranduba,Arapiraca,1456,712,744,"Arapiraca, Massaranduba","Massaranduba, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57309-750, Brasil",-9.7087505,-36.6630971,"9 42m 31.5018s S, 36 39m 47.1496s W"
